date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:02	45021/45021	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:42%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0001_i1.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0001_i1.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:06	95829/95829	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:39%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/image/grey-inner.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/image/grey-inner.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/image/)
17:20:06	21452/21452	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:46%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0003_i1.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0003_i1.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:09	84590/84590	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:43%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0001_i2.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0001_i2.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:09	50037/50037	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:45%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0002_i2.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0002_i2.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:13	45309/45309	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:46%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0003_i2.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0003_i2.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:17	68421/68421	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:47%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0004_i1.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0004_i1.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:17	44775/44775	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:50%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0005_i1.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0005_i1.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:25	48727/48727	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:52%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0006_i1.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0006_i1.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
17:20:28	96340/96340	---M--	200	added ('OK')	image/jpeg	date:Mon,%2021%20Nov%202011%2014:24:51%20GMT	http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0005_i2.jpg	www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/page0005_i2.jpg	(from http://www.mathstar.biz/sfarim/mathematika7B/files/assets/mobile/)
